adp_rank,name,position,team,adp
1,Jahmyr Gibbs,RB,DET,1.5
2,Bijan Robinson,RB,ATL,2.4
3,Puka Nacua,WR,LAR,2.9
4,Ja'Marr Chase,WR,CIN,4.0
5,Jaxon Smith-Njigba,WR,SEA,5.1
6,Jonathan Taylor,RB,IND,5.8
7,Christian McCaffrey,RB,SF,7.0
8,Amon-Ra St. Brown,WR,DET,7.7
9,James Cook III,RB,BUF,9.1
10,Derrick Henry,RB,BAL,10.1
11,De'Von Achane,RB,MIA,11.4
12,CeeDee Lamb,WR,DAL,12.4
13,Drake London,WR,ATL,12.9
14,Justin Jefferson,WR,MIN,13.6
15,Chase Brown,RB,CIN,14.5
16,Saquon Barkley,RB,PHI,17.3
17,Rashee Rice,WR,KC,17.3
18,A.J. Brown,WR,NE,17.5
19,George Pickens,WR,DAL,19.0
20,Kenneth Walker,RB,KC,20.5
21,Nico Collins,WR,HOU,21.4
22,Chris Olave,WR,NO,22.3
23,Ashton Jeanty,RB,LV,22.8
24,Omarion Hampton,RB,LAC,23.1
25,Zay Flowers,WR,BAL,24.0
26,Malik Nabers,WR,NYG,25.5
27,Kyren Williams,RB,LAR,27.7
28,Josh Jacobs,RB,GB,28.1
29,Jeremiyah Love,RB,ARI,30.1
30,Tetairoa McMillan,WR,CAR,30.1
31,DeVonta Smith,WR,PHI,30.9
32,Garrett Wilson,WR,NYJ,31.2
33,Josh Allen,QB,BUF,32.8
34,Breece Hall,RB,NYJ,33.2
35,Javonte Williams,RB,DAL,33.8
36,Emeka Egbuka,WR,TB,34.4
37,Tee Higgins,WR,CIN,35.5
38,Travis Etienne Jr.,RB,NO,37.1
39,Davante Adams,WR,LAR,37.4
40,Trey McBride,TE,ARI,38.3
41,Cam Skattebo,RB,NYG,39.6
42,Jameson Williams,WR,DET,40.4
43,Ladd McConkey,WR,LAC,40.8
44,Brock Bowers,TE,LV,41.7
45,D'Andre Swift,RB,CHI,43.3
46,Terry McLaurin,WR,WAS,45.9
47,Jaylen Waddle,WR,DEN,46.9
48,DJ Moore,WR,BUF,47.2
49,Bucky Irving,RB,TB,48.3
50,Rome Odunze,WR,CHI,50.3
51,Quinshon Judkins,RB,CLE,51.0
52,Drake Maye,QB,NE,51.5
53,Ollie Gordon II,RB,MIA,52.0
54,Mike Evans,WR,SF,53.1
55,Bhayshul Tuten,RB,JAX,53.7
56,Christian Watson,WR,GB,55.7
57,Lamar Jackson,QB,BAL,55.8
58,Joe Burrow,QB,CIN,56.5
59,David Montgomery,RB,HOU,56.5
60,Luther Burden III,WR,CHI,57.2
61,Colston Loveland,TE,CHI,59.8
62,Courtland Sutton,WR,DEN,61.0
63,TreVeyon Henderson,RB,NE,62.8
64,Rhamondre Stevenson,RB,NE,62.8
65,Alec Pierce,WR,IND,63.3
66,Jaylen Warren,RB,PIT,63.7
67,DK Metcalf,WR,PIT,64.5
68,Dak Prescott,QB,DAL,64.6
69,Parker Washington,WR,JAX,64.7
70,Tony Pollard,RB,TEN,66.5
71,Marvin Harrison Jr.,WR,ARI,66.8
72,Tyler Warren,TE,IND,71.4
73,Brian Thomas Jr.,WR,JAX,71.5
74,Jayden Daniels,QB,WAS,72.4
75,Jadarian Price,RB,SEA,72.8
76,Matthew Stafford,QB,LAR,73.7
77,Rico Dowdle,RB,PIT,74.5
78,Michael Wilson,WR,ARI,74.6
79,Carnell Tate,WR,TEN,76.3
80,Chris Godwin Jr.,WR,TB,77.0
81,J.K. Dobbins,RB,DEN,79.5
82,Jalen Hurts,QB,PHI,81.0
83,Michael Pittman Jr.,WR,PIT,81.2
84,Harold Fannin Jr.,TE,CLE,82.2
85,Brock Purdy,QB,SF,85.1
86,Jordan Addison,WR,MIN,86.8
87,Quentin Johnston,WR,LAC,86.9
88,Chuba Hubbard,RB,CAR,87.1
89,Jakobi Meyers,WR,JAX,87.1
90,Jayden Reed,WR,GB,87.8
91,Kyle Pitts Sr.,TE,ATL,89.0
92,Jonathon Brooks,RB,CAR,90.3
93,Trevor Lawrence,QB,JAX,90.9
94,Caleb Williams,QB,CHI,91.2
95,Tucker Kraft,TE,GB,91.3
96,Josh Downs,WR,IND,94.2
97,Wan'Dale Robinson,WR,TEN,94.4
98,George Kittle,TE,SF,94.5
99,Stefon Diggs,WR,WAS,95.3
100,Kenny Gainwell,RB,TB,99.9
101,Xavier Worthy,WR,KC,99.9
102,Jared Goff,QB,DET,100.5
103,Dallas Goedert,TE,PHI,101.3
104,Matthew Golden,WR,GB,101.3
105,Jacory Croskey-Merritt,RB,WAS,102.6
106,Kyle Monangai,RB,CHI,103.0
107,Deebo Samuel Sr.,WR,SF,103.1
108,Patrick Mahomes,QB,KC,103.9
109,Romeo Doubs,WR,NE,103.9
110,RJ Harvey,RB,DEN,105.7
111,Justin Herbert,QB,LAC,107.5
112,Khalil Shakir,WR,BUF,110.3
113,Aaron Jones Sr.,RB,MIN,110.7
114,Jordan Mason,RB,MIN,113.8
115,Bo Nix,QB,DEN,114.0
116,KC Concepcion,WR,CLE,115.8
117,Jalen Coker,WR,CAR,116.6
118,Jaxson Dart,QB,NYG,117.7
119,Rashid Shaheed,WR,SEA,119.0
120,Sam LaPorta,TE,DET,119.1
121,Rachaad White,RB,WAS,120.9
122,Blake Corum,RB,LAR,121.0
123,Travis Kelce,TE,KC,122.6
124,Makai Lemon,WR,PHI,122.6
125,Jerry Jeudy,WR,CLE,124.2
126,De'Zhaun Stribling,WR,SF,126.6
127,Mark Andrews,TE,BAL,128.1
128,Tre Tucker,WR,LV,129.7
129,Zach Charbonnet,RB,SEA,133.1
130,Keenan Allen,WR,IND,133.1
131,Baker Mayfield,QB,TB,135.0
132,Jake Ferguson,TE,DAL,135.5
133,Isaiah Likely,TE,NYG,135.9
134,Jalen McMillan,WR,TB,135.9
135,Kyler Murray,QB,MIN,137.0
136,Rashod Bateman,WR,BAL,138.0
137,Tyler Shough,QB,NO,138.1
138,Denzel Boston,WR,CLE,139.4
139,Calvin Ridley,WR,TEN,140.6
140,Tyjae Spears,RB,TEN,141.1
141,Jauan Jennings,WR,MIN,141.2
142,Woody Marks,RB,HOU,142.2
143,Sam Darnold,QB,SEA,143.6
144,Malik Washington,WR,MIA,144.3
145,Dalton Kincaid,TE,BUF,145.0
146,MarShawn Lloyd,RB,GB,146.0
147,Braelon Allen,RB,NYJ,148.1
148,Cyrus Allen,WR,KC,148.1
149,Jaydon Blue,RB,PHI,148.7
150,Cooper Kupp,WR,SEA,150.1
151,Jordan Love,QB,GB,150.2
152,Chris Rodriguez Jr.,RB,JAX,151.4
153,Jalen Nailor,WR,LV,151.5
154,Mike Washington Jr.,RB,LV,154.5
155,Isiah Pacheco,RB,DET,154.6
156,Tank Bigsby,RB,PHI,154.9
157,Malachi Fields,WR,NYG,155.4
158,Tyler Allgeier,RB,ARI,155.5
159,Juwan Johnson,TE,NO,155.5
160,Tyrone Tracy Jr.,RB,NYG,155.6
161,Jordyn Tyson,WR,NO,156.0
162,Oronde Gadsden,TE,LAC,156.3
163,Darius Slayton,WR,NYG,156.5
164,Emmett Johnson,RB,KC,157.0
165,Dontayvion Wicks,WR,PHI,157.8
