firstName,lastName,Team,Position,college,age,overallRating,birthdate,height,weight,handedness,jerseyNum,yearsPro,Archetype,stats/acceleration/value,stats/acceleration/diff,stats/agility/value,stats/agility/diff,stats/jumping/value,stats/jumping/diff,stats/stamina/value,stats/stamina/diff,stats/strength/value,stats/strength/diff,stats/awareness/value,stats/awareness/diff,stats/bCVision/value,stats/bCVision/diff,stats/blockShedding/value,stats/blockShedding/diff,stats/breakSack/value,stats/breakSack/diff,stats/breakTackle/value,stats/breakTackle/diff,stats/carrying/value,stats/carrying/diff,stats/catchInTraffic/value,stats/catchInTraffic/diff,stats/catching/value,stats/catching/diff,stats/changeOfDirection/value,stats/changeOfDirection/diff,stats/deepRouteRunning/value,stats/deepRouteRunning/diff,stats/finesseMoves/value,stats/finesseMoves/diff,stats/hitPower/value,stats/hitPower/diff,stats/impactBlocking/value,stats/impactBlocking/diff,stats/injury/value,stats/injury/diff,stats/jukeMove/value,stats/jukeMove/diff,stats/kickAccuracy/value,stats/kickAccuracy/diff,stats/kickPower/value,stats/kickPower/diff,stats/kickReturn/value,stats/kickReturn/diff,stats/leadBlock/value,stats/leadBlock/diff,stats/manCoverage/value,stats/manCoverage/diff,stats/mediumRouteRunning/value,stats/mediumRouteRunning/diff,stats/overall/value,stats/overall/diff,stats/passBlock/value,stats/passBlock/diff,stats/passBlockFinesse/value,stats/passBlockFinesse/diff,stats/passBlockPower/value,stats/passBlockPower/diff,stats/playAction/value,stats/playAction/diff,stats/playRecognition/value,stats/playRecognition/diff,stats/powerMoves/value,stats/powerMoves/diff,stats/press/value,stats/press/diff,stats/pursuit/value,stats/pursuit/diff,stats/release/value,stats/release/diff,stats/runBlock/value,stats/runBlock/diff,stats/runBlockFinesse/value,stats/runBlockFinesse/diff,stats/runBlockPower/value,stats/runBlockPower/diff,stats/runningStyle/value,stats/runningStyle/diff,stats/shortRouteRunning/value,stats/shortRouteRunning/diff,stats/spectacularCatch/value,stats/spectacularCatch/diff,stats/speed/value,stats/speed/diff,stats/spinMove/value,stats/spinMove/diff,stats/stiffArm/value,stats/stiffArm/diff,stats/tackle/value,stats/tackle/diff,stats/throwAccuracyDeep/value,stats/throwAccuracyDeep/diff,stats/throwAccuracyMid/value,stats/throwAccuracyMid/diff,stats/throwAccuracyShort/value,stats/throwAccuracyShort/diff,stats/throwOnTheRun/value,stats/throwOnTheRun/diff,stats/throwPower/value,stats/throwPower/diff,stats/throwUnderPressure/value,stats/throwUnderPressure/diff,stats/toughness/value,stats/toughness/diff,stats/trucking/value,stats/trucking/diff,stats/zoneCoverage/value,stats/zoneCoverage/diff
Ja'Marr,Chase,Cincinnati Bengals,WR,LSU,25,99,3/1/00,72,201,1,1,4,Deep Threat - WR,94,0,92,0,98,0,96,0,73,0,99,0,98,0,37,0,29,0,88,0,71,0,95,0,98,0,97,0,98,0,10,0,27,0,46,0,92,0,90,0,17,0,24,0,60,0,27,0,13,0,96,0,99,0,37,0,20,0,26,0,10,0,17,0,10,0,15,0,36,0,97,0,56,0,30,0,34,0,Default,0,96,0,97,0,95,0,83,0,76,0,34,0,10,0,15,0,20,0,19,0,33,0,22,0,88,0,71,0,17,0
Josh,Allen,Buffalo Bills,QB,Wyoming,29,99,5/21/96,77,237,1,17,7,Improviser - QB,91,0,85,0,92,0,98,0,81,0,96,0,97,0,23,0,97,0,86,0,61,0,20,0,40,0,82,0,13,0,9,0,11,0,26,0,99,0,81,0,14,0,22,0,13,0,17,0,12,0,15,0,99,0,14,0,10,0,15,0,97,0,15,0,9,0,9,0,33,0,18,0,17,0,10,0,10,0,Default Stride Bread Loaf,0,22,0,23,0,88,0,78,0,83,0,32,0,92,0,89,0,94,0,98,0,98,0,95,0,98,0,76,0,18,0
Justin,Jefferson,Minnesota Vikings,WR,LSU,26,99,6/16/99,73,195,1,18,5,Deep Threat - WR,92,0,95,0,97,0,98,0,64,0,99,0,94,0,24,0,23,0,81,0,73,0,98,0,96,0,98,0,97,0,24,0,43,0,52,0,94,0,93,0,12,0,18,0,61,0,34,0,18,0,98,0,99,0,25,0,13,0,18,0,24,0,19,0,18,0,18,0,41,0,99,0,51,0,27,0,29,0,Long Stride Loose,0,98,0,99,0,91,0,81,0,75,0,36,0,24,0,30,0,35,0,33,0,43,0,29,0,87,0,65,0,26,0
Lamar,Jackson,Baltimore Ravens,QB,Louisville,28,99,1/7/97,74,210,1,8,7,Improviser - QB,95,0,94,0,91,0,93,0,63,0,97,0,98,0,16,0,98,0,82,0,70,0,17,0,64,0,95,0,13,0,10,0,27,0,29,0,92,0,91,0,19,0,12,0,10,0,21,0,12,0,15,0,99,0,13,0,13,0,13,0,98,0,10,0,12,0,10,0,38,0,17,0,14,0,14,0,14,0,Short Stride Default,0,20,0,15,0,96,0,83,0,80,0,35,0,85,0,96,0,97,0,99,0,93,0,98,0,96,0,39,0,12,0
Lane,Johnson,Philadelphia Eagles,RT,Oklahoma,35,99,5/8/90,78,325,1,65,12,Power - OT,78,0,75,0,82,0,88,0,93,0,99,0,60,0,56,0,39,0,30,0,67,0,58,0,64,0,58,0,25,0,60,0,60,0,95,0,84,0,54,0,22,0,25,0,10,0,96,0,12,0,33,0,99,0,98,0,94,0,98,0,39,0,29,0,53,0,10,0,55,0,45,0,97,0,96,0,98,0,Default,0,46,0,57,0,77,0,50,0,55,0,60,0,50,0,54,0,59,0,52,0,65,0,41,0,91,0,65,0,20,0
Myles,Garrett,Cleveland Browns,RE,Texas AM,29,99,12/29/95,76,272,1,95,8,Power Rusher - DE,90,0,86,0,94,0,89,0,96,0,97,0,39,0,96,0,12,0,34,0,55,0,21,0,52,0,71,0,4,0,92,0,84,0,90,0,92,0,36,0,20,0,20,0,10,0,17,0,51,0,8,0,99,0,45,0,45,0,45,0,10,0,94,0,98,0,44,0,97,0,31,0,45,0,45,0,45,0,Long Stride Default,0,15,0,25,0,87,0,40,0,48,0,92,0,27,0,30,0,31,0,23,0,55,0,16,0,87,0,36,0,51,0
Saquon,Barkley,Philadelphia Eagles,HB,Penn State,28,99,2/9/97,72,227,1,26,7,Elusive Back - HB,94,0,95,0,96,0,94,0,81,0,99,0,87,0,24,0,31,0,93,0,97,0,62,0,74,0,94,0,65,0,25,0,17,0,37,0,91,0,97,0,14,0,19,0,81,0,34,0,15,0,67,0,99,0,60,0,33,0,38,0,18,0,21,0,17,0,10,0,36,0,69,0,36,0,31,0,35,0,Default,0,75,0,73,0,95,0,95,0,88,0,28,0,29,0,34,0,41,0,36,0,41,0,18,0,90,0,84,0,13,0
Derrick,Henry,Baltimore Ravens,HB,Alabama,31,98,1/4/94,75,247,1,22,9,Power Back - HB,87,0,83,0,88,0,92,0,87,0,97,0,98,0,36,0,29,0,96,0,96,0,47,0,66,0,78,0,41,0,12,0,33,0,47,0,96,0,86,0,20,0,21,0,36,0,49,0,14,0,49,0,98,0,68,0,38,0,43,0,15,0,20,0,11,0,16,0,41,0,47,0,42,0,31,0,35,0,None,0,56,0,55,0,93,0,75,0,99,0,44,0,23,0,29,0,40,0,32,0,42,0,26,0,97,0,93,0,19,0
George,Kittle,San Francisco 49ers,TE,Iowa,31,98,10/9/93,76,250,1,85,8,Possession - TE,87,0,83,0,90,0,94,0,82,0,97,0,92,0,31,0,18,0,81,0,75,0,89,0,95,0,77,0,77,0,18,0,38,0,78,0,88,0,82,0,22,0,19,0,31,0,65,0,15,0,81,0,98,0,62,0,58,0,62,0,10,0,35,0,20,0,20,0,36,0,83,0,77,0,71,0,76,0,Default Stride Loose,0,84,0,89,0,87,0,64,0,83,0,34,0,10,0,15,0,20,0,10,0,30,0,14,0,98,0,84,0,24,0
Micah,Parsons,Dallas Cowboys,LE,Penn State,26,98,5/26/99,75,245,1,11,4,Smaller Speed Rusher - DE,95,0,90,0,85,0,90,0,89,0,97,0,71,0,81,0,12,0,57,0,69,0,44,0,62,0,77,0,31,0,97,0,84,0,84,0,93,0,71,0,20,0,20,0,60,0,20,0,61,0,36,0,98,0,45,0,45,0,45,0,6,0,95,0,90,0,57,0,94,0,36,0,45,0,45,0,45,0,Default Stride Loose,0,40,0,47,0,90,0,61,0,58,0,89,0,6,0,6,0,6,0,6,0,30,0,15,0,87,0,62,0,64,0
