Full_Name,Team,Position,Overall,Madden_Year
Taylor Boggs,CHI,C,61,2014
Roberto Garza,CHI,C,76,2014
Patrick Mannelly,CHI,C,66,2014
Tony Fiammetta,CHI,FB,69,2014
Harvey Unga,CHI,FB,74,2014
Matt Forte,CHI,HB,91,2014
Michael Bush,CHI,HB,81,2014
Armando Allen,CHI,HB,67,2014
Robbie Gould,CHI,K,93,2014
James Brown,CHI,LG,65,2014
Edwin Williams,CHI,LG,73,2014
Matt Slauson,CHI,LG,79,2014
Jermon Bushrod,CHI,LT,86,2014
Eben Britton,CHI,LT,70,2014
Cory Brandon,CHI,LT,59,2014
Jay Cutler,CHI,QB,86,2014
Josh McCown,CHI,QB,71,2014
Matt Blanchard,CHI,QB,64,2014
Derek Dennis,CHI,RG,60,2014
Kyle Long,CHI,RG,75,2014
Jordan Mills,CHI,RT,70,2014
Jonathan Scott,CHI,RT,72,2014
J'Marcus Webb,CHI,RT,77,2014
Martellus Bennett,CHI,TE,88,2014
Fendi Onobun,CHI,TE,62,2014
Steve Maneri,CHI,TE,69,2014
Brody Eldridge,CHI,TE,65,2014
Kyle Adams,CHI,TE,66,2014
Terrence Toliver,CHI,WR,61,2014
Alshon Jeffery,CHI,WR,75,2014
Marquess Wilson,CHI,WR,66,2014
Joe Anderson,CHI,WR,61,2014
Brandon Marshall,CHI,WR,95,2014
Devin Hester,CHI,WR,73,2014
Earl Bennett,CHI,WR,77,2014
Eric Weems,CHI,WR,73,2014
Kyle Cook,CIN,C,75,2014
Trevor Robinson,CIN,C,76,2014
Shaun Prater,CIN,CB,67,2014
Terence Newman,CIN,CB,85,2014
Leon Hall,CIN,CB,90,2014
Adam Jones,CIN,CB,79,2014
Onterio McCalebb,CIN,CB,58,2014
Brandon Ghee,CIN,CB,68,2014
Dre Kirkpatrick,CIN,CB,76,2014
Devon Still,CIN,DT,74,2014
Brandon Thompson,CIN,DT,66,2014
Geno Atkins,CIN,DT,97,2014
Domata Peko,CIN,DT,81,2014
John Conner,CIN,FB,74,2014
Chris Pressley,CIN,FB,79,2014
Reggie Nelson,CIN,FS,88,2014
George Iloka,CIN,FS,65,2014
Rex Burkhead,CIN,HB,68,2014
Bernard Scott,CIN,HB,74,2014
Cedric Peerman,CIN,HB,70,2014
Giovani Bernard,CIN,HB,75,2014
Daniel Herron,CIN,HB,68,2014
BenJarvus Green-Ellis,CIN,HB,82,2014
Mike Nugent,CIN,K,83,2014
Jamaal Anderson,CIN,LE,74,2014
Margus Hunt,CIN,LE,70,2014
Carlos Dunlap,CIN,LE,89,2014
Wallace Gilberry,CIN,LE,70,2014
Clint Boling,CIN,LG,78,2014
Travelle Wharton,CIN,LG,82,2014
James Harrison,CIN,LOLB,86,2014
Aaron Maybin,CIN,LOLB,74,2014
Andrew Whitworth,CIN,LT,90,2014
Tanner Hawkinson,CIN,LT,66,2014
Dennis Roland,CIN,LT,69,2014
J.K. Schaffer,CIN,MLB,58,2014
Rey Maualuga,CIN,MLB,76,2014
Kevin Huber,CIN,P,84,2014
Zac Robinson,CIN,QB,64,2014
John Skelton,CIN,QB,67,2014
Andy Dalton,CIN,QB,84,2014
Josh Johnson,CIN,QB,70,2014
Dontay Moch,CIN,RE,65,2014
DeQuin Evans,CIN,RE,60,2014
Michael Johnson,CIN,RE,89,2014
Robert Geathers,CIN,RE,76,2014
Kevin Zeitler,CIN,RG,87,2014
Mike Pollak,CIN,RG,77,2014
Vincent Rey,CIN,ROLB,66,2014
Sean Porter,CIN,ROLB,70,2014
Vontaze Burfict,CIN,ROLB,77,2014
Emmanuel Lamur,CIN,ROLB,64,2014
Andre Smith,CIN,RT,92,2014
Reid Fragel,CIN,RT,69,2014
Anthony Collins,CIN,RT,78,2014
Shawn Williams,CIN,SS,72,2014
Taylor Mays,CIN,SS,74,2014
Jeromy Miles,CIN,SS,71,2014
Tyler Eifert,CIN,TE,80,2014
Jermaine Gresham,CIN,TE,80,2014
Orson Charles,CIN,TE,71,2014
Richard Quinn,CIN,TE,70,2014
Alex Smith,CIN,TE,77,2014
Clark Harris,CIN,TE,63,2014
Brandon Tate,CIN,WR,70,2014
Mohamed Sanu,CIN,WR,74,2014
Marvin Jones,CIN,WR,70,2014
Ryan Whalen,CIN,WR,68,2014
Dane Sanzenbacher,CIN,WR,65,2014
Andrew Hawkins,CIN,WR,72,2014
Cobi Hamilton,CIN,WR,67,2014
A.J. Green,CIN,WR,94,2014
Garrison Sanborn,BUF,C,57,2014
David Snow,BUF,C,69,2014
Eric Wood,BUF,C,82,2014
Doug Legursky,BUF,C,73,2014
Leodis McKelvin,BUF,CB,77,2014
Ron Brooks,BUF,CB,68,2014
Stephon Gilmore,BUF,CB,82,2014
T.J. Heath,BUF,CB,60,2014
Justin Rogers,BUF,CB,67,2014
Crezdon Butler,BUF,CB,67,2014
Torell Troup,BUF,DT,68,2014
Marcell Dareus,BUF,DT,88,2014
Corbin Bryant,BUF,DT,66,2014
Dorin Dickerson,BUF,FB,72,2014
Frank Summers,BUF,FB,67,2014
Jairus Byrd,BUF,FS,95,2014
Aaron Williams,BUF,FS,75,2014
C.J. Spiller,BUF,HB,92,2014
Fred Jackson,BUF,HB,83,2014
Zach Brown,BUF,HB,66,2014
Tashard Choice,BUF,HB,73,2014
Dustin Hopkins,BUF,K,71,2014
Rian Lindell,BUF,K,84,2014
