fixture,market,selection,market_odds
Brazil vs Switzerland,1X2,Brazil win,1.92
Brazil vs Switzerland,1X2,Draw,3.45
Brazil vs Switzerland,1X2,Switzerland win,3.54
Brazil vs Switzerland,Totals 2.5,Over 2.5,1.88
Brazil vs Switzerland,Totals 2.5,Under 2.5,2.04
Brazil vs Switzerland,BTTS,Yes,1.79
Brazil vs Switzerland,BTTS,No,2.05
Brazil vs Switzerland,Anytime scorer,Felix Haddad (Brazil),3.01
Brazil vs Switzerland,Anytime scorer,Diego Petrov (Switzerland),3.61
France vs Denmark,1X2,France win,1.67
France vs Denmark,1X2,Draw,3.89
France vs Denmark,1X2,Denmark win,7.05
France vs Denmark,Totals 2.5,Over 2.5,1.85
France vs Denmark,Totals 2.5,Under 2.5,1.9
France vs Denmark,BTTS,Yes,2.14
France vs Denmark,BTTS,No,1.7
France vs Denmark,Anytime scorer,Yuki Mensah (France),2.95
France vs Denmark,Anytime scorer,Tariq Sokol (Denmark),5.42
Argentina vs Mexico,1X2,Argentina win,2.56
Argentina vs Mexico,1X2,Draw,3.22
Argentina vs Mexico,1X2,Mexico win,2.95
Argentina vs Mexico,Totals 2.5,Over 2.5,2.32
Argentina vs Mexico,Totals 2.5,Under 2.5,1.69
Argentina vs Mexico,BTTS,Yes,1.94
Argentina vs Mexico,BTTS,No,2.2
Argentina vs Mexico,Anytime scorer,Diego Reyes (Argentina),4.66
Argentina vs Mexico,Anytime scorer,Omar Ferrari (Mexico),4.07
England vs USA,1X2,England win,1.75
England vs USA,1X2,Draw,3.52
England vs USA,1X2,USA win,8.07
England vs USA,Totals 2.5,Over 2.5,3.49
England vs USA,Totals 2.5,Under 2.5,1.3
England vs USA,BTTS,Yes,3.75
England vs USA,BTTS,No,1.27
England vs USA,Anytime scorer,Kai Müller (England),3.95
England vs USA,Anytime scorer,Pavel Diallo (USA),11.13
Spain vs Japan,1X2,Spain win,2.13
Spain vs Japan,1X2,Draw,3.43
Spain vs Japan,1X2,Japan win,3.15
Spain vs Japan,Totals 2.5,Over 2.5,1.88
Spain vs Japan,Totals 2.5,Under 2.5,2.0
Spain vs Japan,BTTS,Yes,1.65
Spain vs Japan,BTTS,No,2.08
Spain vs Japan,Anytime scorer,Leon Haddad (Spain),3.6
Spain vs Japan,Anytime scorer,Luka Costa (Japan),3.91
