team,player,position,xg90,def90,is_nominal_starter,exp_minutes
Argentina,Ali Silva,GK,0.0,0.753,True,74.2
Argentina,Felix Costa,GK,0.04,0.689,False,11.7
Argentina,Mateo Olsen,GK,0.019,0.649,False,9.5
Argentina,Tom Park,DEF,0.135,0.531,True,79.0
Argentina,Karim Park,DEF,0.085,0.403,True,80.8
Argentina,Lars Haddad,DEF,0.078,0.346,True,75.3
Argentina,Cole Tanaka,DEF,0.042,0.269,True,85.5
Argentina,Ze Owusu,DEF,0.055,0.27,False,16.5
Argentina,Karim Mensah,DEF,0.057,0.3,False,5.2
Argentina,Cole Reyes,DEF,0.039,0.175,False,12.0
Argentina,Leon Tanaka,DEF,0.011,0.189,False,6.3
Argentina,Felix Kovac,MID,0.484,0.203,True,79.0
Argentina,Alex Costa,MID,0.442,0.145,True,75.4
Argentina,Joao Owusu,MID,0.377,0.17,True,79.6
Argentina,Bruno Tanaka,MID,0.376,0.153,True,77.9
Argentina,Diego Haddad,MID,0.384,0.147,False,13.9
Argentina,Diego Vega,MID,0.328,0.145,False,8.2
Argentina,Tom Marin,MID,0.274,0.167,False,6.6
Argentina,Hugo Ferrari,MID,0.271,0.112,False,8.2
Argentina,Diego Reyes,FWD,0.755,0.097,True,75.1
Argentina,Kai Ferrari,FWD,0.704,0.043,True,79.1
Argentina,Ivan Silva,FWD,0.572,0.039,False,8.8
Argentina,Joao Nadir,FWD,0.428,-0.013,False,17.9
Argentina,Mateo Andersen,FWD,0.362,0.021,False,4.4
Argentina,Omar Haddad,FWD,0.253,-0.047,False,0.0
Argentina,Ivan Bello,FWD,0.137,0.035,False,0.0
France,Yuki Olsen,GK,0.0,0.865,True,86.3
France,Pavel Reyes,GK,0.009,0.693,False,8.9
France,Niko Sokol,GK,0.0,0.499,False,10.2
France,Niko Haddad,DEF,0.155,0.56,True,76.2
France,Felix Owusu,DEF,0.127,0.585,True,74.0
France,Hugo Bauer,DEF,0.114,0.459,True,69.4
France,Karim Novak,DEF,0.089,0.343,True,82.2
France,Eden Nadir,DEF,0.096,0.352,False,18.7
France,Joao Rossi,DEF,0.083,0.312,False,7.3
France,Lars Olsen,DEF,0.071,0.337,False,3.8
